"id","temperature","pressure","humidity","gas_resistance","altitude","pm_1","pm_2","pm_10","created_at"
3970,"12.5","500","0.3","12","12","2","3","4","2023-01-09 21:45:11.977557+01"
3971,"12.5","500","0.3","12","12","2","3","4","2020-01-25 22:03:29.977557+01"
3972,"12.5","500","0.3","12","12","2","3","4","2022-10-03 07:27:58.977557+02"
3973,"22.64788","1018.1","44.05498","84.295","-40.30182","273","379","544","2023-07-27 19:46:36.977557+02"
3974,"22.81277","1018.08","43.8464","80.27","-40.13552","194","239","389","2021-04-09 06:53:32.977557+02"
3975,"22.90686","1018.08","43.75545","77.531","-40.13552","225","292","451","2021-04-23 09:55:18.977557+02"
3976,"22.96444","1018.08","43.97734","76.127","-40.21867","614","975","1000","2019-04-23 14:15:20.977557+02"
3977,"23.00126","1018.1","43.80204","76.127","-40.38396","176","206","342","2022-10-26 01:17:45.977557+02"
3978,"23.02108","1018.12","43.42202","75.511","-40.6334","152","187","304","2019-11-08 20:30:12.977557+01"
3979,"23.03241","1018.14","43.38751","75.647","-40.71654","105","142","222","2023-08-23 02:46:19.977557+02"
3980,"23.03965","1018.15","44.25552","75.308","-40.79868","787","789","1000","2020-12-28 02:16:50.977557+01"
3981,"23.045","1018.15","44.1782","74.972","-40.6334","893","895","1000","2021-03-28 15:28:40.977557+02"
3982,"22.70515","1018.11","43.96575","72.452","-40.38396","141","199","321","2020-01-09 21:48:14.977557+01"
3983,"22.87602","1018.1","43.99119","75.241","-40.38396","185","243","381","2019-08-22 04:57:57.977557+02"
3984,"22.97326","1018.09","44.03222","75.106","-40.21867","134","188","288","2022-05-21 10:28:39.977557+02"
3985,"23.00661","1018.06","43.11639","75.039","-39.97023","107","131","217","2023-12-17 22:21:41.977557+01"
3986,"23.04878","1018.06","44.22059","74.507","-39.97023","345","499","611","2022-07-02 08:27:46.977557+02"
3987,"23.06608","1018.04","43.57634","75.443","-39.72078","51","63","100","2021-09-03 02:46:33.977557+02"
3988,"23.07426","1018.01","43.27892","75.241","-39.47232","59","88","148","2019-04-03 02:54:41.977557+02"
3989,"23.06734","1017.98","43.04581","75.106","-39.22285","49","59","108","2021-04-11 12:50:08.977557+02"
3990,"23.05224","1017.95","42.96674","75.783","-38.89123","46","50","50","2019-12-25 03:15:19.977557+01"
3991,"23.04059","1017.91","42.89405","75.783","-38.5596","43","49","49","2023-03-04 21:03:47.977557+01"
3992,"23.03556","1017.86","42.85186","75.715","-38.06262","34","39","50","2022-08-01 09:38:21.977557+02"
3993,"23.03588","1017.7","41.99197","84.976","-36.98343","83","85","147","2020-02-11 01:30:34.977557+01"
3994,"23.20485","1017.7","42.27113","83.046","-37.0666","20","30","38","2023-02-15 10:42:06.977557+01"
3995,"23.09566","1017.68","41.99854","101.036","-36.81808","29","31","43","2019-09-06 21:50:03.977557+02"
3996,"23.20894","1017.67","42.31307","84.549","-36.65173","174","184","285","2021-08-18 13:04:34.977557+02"
3997,"23.28226","1017.64","42.2797","81.993","-36.48639","41","45","50","2022-06-01 20:54:47.977557+02"
3998,"23.31373","1017.61","42.46112","80.81","-36.07149","40","57","95","2019-09-08 07:34:41.977557+02"
3999,"23.32097","1017.57","43.60526","79.511","-35.73877","925","927","1000","2021-08-18 18:43:22.977557+02"
4000,"23.31594","1017.52","42.75835","78.472","-35.32384","42","47","50","2021-05-06 19:52:47.977557+02"
4001,"23.3024","1017.48","42.66175","78.618","-35.07528","43","47","50","2020-01-21 12:56:42.977557+01"
4002,"23.28887","1017.45","42.76127","77.531","-34.82672","38","46","47","2019-08-10 19:11:56.977557+02"
4003,"23.28195","1017.42","42.86158","77.674","-34.57714","31","42","50","2020-08-17 06:47:50.977557+02"
4004,"23.28132","1017.41","42.94482","77.602","-34.49495","22","27","40","2023-12-14 18:59:52.977557+01"
4005,"23.28541","1017.38","43.03457","77.89","-34.24537","23","29","38","2023-06-02 17:39:32.977557+02"
4006,"23.26433","1017.42","42.8061","90.172","-34.66034","1000","1000","1000","2023-08-09 12:03:29.977557+02"
4007,"12.5","500","0.3","12","12","2","3","4","2020-12-03 01:09:41.977557+01"
4008,"12.5","500","0.3","12","12","2","3","4","2023-08-24 19:01:36.977557+02"
4009,"12.5","500","0.3","12","12","2","3","4","2021-06-13 19:32:57.977557+02"
4010,"12.5","500","0.3","12","12","2","3","4","2023-11-21 14:38:34.977557+01"
4011,"12.5","500","0.3","12","12","2","3","4","2021-11-10 19:07:02.977557+01"
4012,"12.5","500","0.3","12","12","2","3","4","2019-05-06 07:57:46.977557+02"
4013,"21.3398","1007.48","66.08105","12.861","48.23436","663","1000","1000","2023-02-25 06:48:58.977557+01"
4014,"12.5","500","0.3","12","12","2","3","4","2020-07-17 06:16:01.977557+02"
4015,"21.82911","1007.48","63.8103","37.431","48.06665","42","50","50","2019-10-07 06:59:31.977557+02"
4016,"12.5","500","0.3","12","12","2","3","4","2020-08-01 09:04:05.977557+02"
4017,"12.5","500","0.3","12","12","2","3","4","2020-11-23 09:57:34.977557+01"
4018,"12.5","500","0.3","12","12","2","3","4","2021-03-19 07:03:04.977557+01"
4019,"12.5","500","0.3","12","12","2","3","4","2020-07-05 14:42:11.977557+02"
4020,"38","1683","0.995910295","40","-36","1827","92","2227","2021-09-16 06:31:05.977557+02"
4021,"37","1675","0.058834019","21","-14","1569","1875","355","2021-06-01 06:51:57.977557+02"
4022,"37","1421","0.353547375","24","6","2303","234","1542","2021-02-18 07:32:54.977557+01"
4023,"28","1791","0.527371277","32","7","2993","1050","986","2020-05-22 20:16:52.977557+02"
4024,"31","943","0.084639035","55","-11","1526","2676","521","2021-09-21 16:16:35.977557+02"
4025,"34","1604","0.70007106","58","13","1753","627","2752","2023-11-17 00:16:20.977557+01"
4026,"32","1265","0.734593834","37","-3","602","2874","1362","2023-08-10 14:59:26.977557+02"
4027,"18","1907","0.488171941","42","-45","2621","1517","139","2019-12-21 17:59:58.977557+01"
4028,"30","1158","0.478282344","20","-22","2262","176","62","2020-01-20 01:03:32.977557+01"
4029,"32","1023","0.77365853","11","1","2338","660","907","2021-08-26 22:19:08.977557+02"
4030,"37","813","0.87715515","26","-7","2110","1227","2123","2023-11-08 05:22:32.977557+01"
4031,"39","1484","0.529272916","31","-3","1041","2804","2019","2022-02-08 00:43:46.977557+01"
4032,"15","829","0.181459177","33","18","2241","2966","2317","2021-03-09 01:20:54.977557+01"
4033,"10","1120","0.16734036","48","35","232","1610","2334","2022-10-28 22:51:37.977557+02"
4034,"28","1714","0.063803403","27","42","778","2598","1334","2023-06-08 05:25:45.977557+02"
4035,"38","1174","0.713749428","49","0","2170","1677","210","2021-03-06 01:14:47.977557+01"
4036,"14","1274","0.93014833","37","50","1874","884","2548","2019-11-01 17:07:18.977557+01"
4037,"13","854","0.056136609","28","-54","2228","729","1164","2021-01-06 00:40:06.977557+01"
4038,"19","1496","0.81731424","10","47","309","28","2950","2022-05-13 12:49:36.977557+02"
4039,"29","1681","0.662232422","26","1","1772","621","820","2022-08-01 21:30:13.977557+02"
4040,"38","1463","0.941804343","33","-55","2605","345","2613","2022-10-03 18:35:43.977557+02"
4041,"10","1146","0.362548343","13","39","2631","2969","293","2020-01-21 07:09:24.977557+01"
4042,"30","982","0.748929233","57","-36","1722","2690","892","2020-03-02 19:48:54.977557+01"
4043,"15","1676","0.071981335","34","26","2667","2873","802","2021-04-11 10:18:12.977557+02"
4044,"38","1759","0.366644601","21","6","1151","1403","392","2022-11-28 01:54:44.977557+01"
4045,"10","989","0.491901115","55","-37","2545","1930","1481","2019-09-20 06:51:29.977557+02"
4046,"19","1679","0.410271389","22","41","1244","2694","2521","2019-03-11 22:53:44.977557+01"
4047,"40","1087","0.627991788","20","-19","1863","329","1143","2022-10-17 01:37:21.977557+02"
4048,"30","998","0.858810004","21","24","1213","2036","2906","2021-03-11 05:52:56.977557+01"
4049,"18","1330","0.857490755","38","43","1751","2593","554","2020-03-28 09:01:25.977557+01"
4050,"31","1410","0.148087623","39","45","54","1791","1977","2022-06-09 20:19:06.977557+02"
4051,"32","1459","0.490995769","36","48","468","186","2240","2021-08-10 04:48:45.977557+02"
4052,"18","1707","0.441578328","57","-50","821","292","485","2023-07-02 23:20:26.977557+02"
4053,"21","891","0.163881991","57","-7","280","1307","825","2023-02-25 19:33:48.977557+01"
4054,"21","868","0.980829258","31","-41","1273","2292","2861","2021-04-11 07:21:21.977557+02"
4055,"12","1687","0.737388629","34","-28","36","2084","1010","2019-11-06 01:35:49.977557+01"
4056,"38","1163","0.607478258","9","-47","956","1501","2433","2020-03-08 07:44:52.977557+01"
4057,"12","1029","0.028749338","45","-48","362","2513","1450","2023-09-05 09:32:17.977557+02"
4058,"40","1967","0.519688634","24","-41","2170","210","359","2019-04-01 10:05:59.977557+02"
4059,"14","1919","0.068399001","39","24","2000","390","1442","2022-12-21 03:09:53.977557+01"
4060,"16","1500","0.244373979","10","-41","53","2391","879","2022-06-28 13:59:43.977557+02"
4061,"12","1516","0.244386706","23","28","1934","1850","401","2019-08-02 17:22:15.977557+02"
4062,"30","1467","0.914761246","53","-48","331","624","827","2023-10-08 16:40:10.977557+02"
4063,"13","1054","0.765784412","42","-15","2612","1726","973","2021-02-10 01:22:56.977557+01"
4064,"38","1718","0.222773457","28","-53","1469","2212","1374","2020-09-17 01:46:22.977557+02"
